xllcorner,yllcorner,cellsize,nrows,ncols,band,units,scale,latitude,longitude,site,product,start,end,complete,modis_date,calendar_date,tile,proc_date,pixel,value
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2000049,2000-02-18,h19v12,2020041154854,1,5636
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2000065,2000-03-05,h19v12,2020040133656,1,6615
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2000081,2000-03-21,h19v12,2020041150759,1,7301
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2000097,2000-04-06,h19v12,2020041112747,1,6922
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2000113,2000-04-22,h19v12,2020042090538,1,6727
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2000129,2000-05-08,h19v12,2020042174130,1,6846
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2000145,2000-05-24,h19v12,2020045171959,1,6500
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2000161,2000-06-09,h19v12,2020047192036,1,7011
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2000177,2000-06-25,h19v12,2020048031323,1,7029
1884292.80,-3822561.53,231.656358264,1,1,250m_16_days_NDVI,NDVI ratio - No units,0.0001,-34.37505,20.53175,grassy field,MOD13Q1,2000-01-01,2023-01-30,TRUE,A2000193,2000-07-11,h19v12,2020051155136,1,6605
